WebHitNumber,screenName,followers_count,location,name,created_at,description
5,mfa_russia,290591,Russia,MFA Russia 🇷🇺,2011-02-21 12:45:22,Official account of the Ministry of Foreign Affairs of Russia 🇷🇺 | Country's account @Russia | По-русски @MID_RF | Cuenta en Español @MAE_Rusia https://t.co/kWMm8F3R7u
0,MoscowTimes,141451,Moscow,The Moscow Times,2009-01-26 10:34:07,Independent news from Russia since 1992. Photo: Moskva News Agency
2,moscowgov,10703,"Москва, Россия",Moscow,2016-06-22 16:16:58,This is the official twitter of the Mayor and the Moscow government. Аккаунт на русском языке – @moscow
4,themoscownews,9925,Moscow,The Moscow News,2009-12-12 08:59:33,Russia's oldest English-language newspaper
6,fclokomotiv_eng,9657,"Moscow, Russia",FC Lokomotiv Moscow,2017-10-15 17:20:56,Welcome to the official English Twitter account of Lokomotiv Moscow Football Club❤️💚 | @fclokomotiv  #FCLM
