WebHitNumber,screenName,followers_count,location,name,created_at,description
5,moscowgov,10703,"Москва, Россия",Moscow,2016-06-22 16:16:58,This is the official twitter of the Mayor and the Moscow government. Аккаунт на русском языке – @moscow
7,MoscowTimes,141450,Moscow,The Moscow Times,2009-01-26 10:34:07,Independent news from Russia since 1992. Photo: Moskva News Agency
103,KremlinRussia_E,911433,"Moscow, Russian Federation",President of Russia,2010-10-21 08:06:17,Official Kremlin news
